Config,Avg_F1,Avg_Time
Omni_Causal,0.837,0.1152
Omni_Entropy,0.8433,0.1145
Omni_Entropy_Causal,0.857,0.1217
Omni_Periodic,0.8409,0.1122
TranAD_Scratch,0.8683,0.411
