Dataset,Config,Machine,TrainTime,F1
SMD,JumpStarter,machine-2-7,35.069156646728516,0.9999999949699698
SMD,JumpStarter,machine-2-8,36.107590436935425,0.9999999949378882
SMD,JumpStarter,machine-2-9,44.82522416114807,0.9360354604930851
SMD,JumpStarter,machine-3-1,46.59597110748291,0.8965517190878914
SMD,JumpStarter,machine-3-10,40.28464460372925,0.9939540457741375
SMD,JumpStarter,machine-3-11,46.13499093055725,0.9999999949479166
SMD,JumpStarter,machine-3-2,37.020222902297974,0.0
SMD,JumpStarter,machine-3-3,37.8090181350708,0.9728682120360856
SMD,JumpStarter,machine-3-4,36.61174964904785,0.9351576392581964
SMD,JumpStarter,machine-3-5,36.68786311149597,0.9897610870831344
SMD,JumpStarter,machine-3-6,44.085713386535645,0.905887403676355
SMD,JumpStarter,machine-3-7,44.72624135017395,0.9245982644610922
SMD,JumpStarter,machine-3-8,48.09647583961487,0.5646766128594435
SMD,JumpStarter,machine-3-9,47.340808153152466,0.66331657794235
MSL,JumpStarter,M-5,5.500843524932861,0.9036144528505587
MSL,JumpStarter,M-6,4.831694602966309,0.7792207744307641
MSL,JumpStarter,M-7,5.062436103820801,0.9900990048034508
MSL,JumpStarter,P-10,13.645821809768677,0.9999999949230769
MSL,JumpStarter,P-11,8.803708553314209,0.738562086820881
MSL,JumpStarter,P-14,14.231374979019165,0.9999999949444445
MSL,JumpStarter,P-15,6.733531475067139,0.062015503273120616
MSL,JumpStarter,S-2,4.524702787399292,0.11764705770242216
MSL,JumpStarter,T-12,5.9487175941467285,0.43956043611480095
MSL,JumpStarter,T-13,5.598443269729614,0.6596306024220105
MSL,JumpStarter,T-4,5.318025588989258,0.6834170808595743
MSL,JumpStarter,T-5,5.2958433628082275,0.7575757526400367
MSL,JumpStarter,T-8,3.640631675720215,0.6920415179176496
MSL,JumpStarter,T-9,2.8578436374664307,0.7174887841742243
SMAP,JumpStarter,E-2,11.144930124282837,0.9748778735727658
SMAP,JumpStarter,E-3,10.260955572128296,0.9970510581662796
SMAP,JumpStarter,E-4,8.101167678833008,0.9984016998446287
SMAP,JumpStarter,E-5,8.33724069595337,0.9653091955802161
SMAP,JumpStarter,E-6,8.202679634094238,0.7344632721057167
SMAP,JumpStarter,E-7,8.5139741897583,0.870917568928695
SMAP,JumpStarter,E-8,8.52246642112732,0.989657910657024
SMAP,JumpStarter,E-9,8.579966068267822,0.9708737813850774
SMAP,JumpStarter,F-1,8.511162042617798,0.20533880718812328
SMAP,JumpStarter,F-2,9.454507827758789,0.9647519532276065
SMAP,JumpStarter,F-3,8.570047855377197,0.8510638247170665
SMAP,JumpStarter,G-1,8.610674858093262,0.23809523599300836
SMAP,JumpStarter,G-2,7.370638847351074,0.029839611790876193
SMAP,JumpStarter,G-3,7.934046983718872,0.7092198534781954
SMAP,JumpStarter,G-4,7.648017406463623,0.8219178031525615
SMAP,JumpStarter,G-6,8.846553564071655,0.3236245927462008
SMAP,JumpStarter,G-7,8.18324327468872,0.5680600173569109
SMAP,JumpStarter,P-1,8.455710649490356,0.9546904863828916
SMAP,JumpStarter,P-2,8.85202693939209,0.9927066400489476
SMAP,JumpStarter,P-3,8.612043619155884,0.9921962045804443
SMAP,JumpStarter,P-4,7.973464012145996,0.6567164134898642
SMAP,JumpStarter,P-7,8.11730408668518,0.9401709351834807
SMAP,JumpStarter,R-1,7.633554458618164,0.448179268206106
SMAP,JumpStarter,S-1,7.582564830780029,0.9802631528751876
SMAP,JumpStarter,T-1,8.517478704452515,0.9182235784735278
SMAP,JumpStarter,T-2,8.587167263031006,0.9399367705662997
SMAP,JumpStarter,T-3,8.511098146438599,0.5977011452148803
