Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
M-5,0.8152173864529183,0.8141112570231365,0.10474920272827148,0.1417250633239746
M-6,0.9999999949444445,0.9999999949444445,0.0733802318572998,0.08306694030761719
M-7,0.48426149751713393,0.3350083724092265,0.07760334014892578,0.07895874977111816
P-10,0.9999999949230769,0.7303370739742456,0.10875487327575684,0.24460744857788086
P-11,0.758389257011396,0.7753001667524397,0.1086888313293457,0.23581862449645996
P-14,0.986301364809908,0.986301364809908,0.12169837951660156,0.18774867057800293
P-15,0.9523809469387755,0.4597701112960762,0.13327717781066895,0.19572210311889648
S-2,0.035587188261293555,0.04089979509871572,0.05661725997924805,0.08275890350341797
T-12,0.9836065522977696,0.7079645971545672,0.08415699005126953,0.10732650756835938
T-13,0.6002400918230437,0.6009615342432507,0.06345009803771973,0.07450389862060547
T-4,0.2786885221801935,0.7472527424900375,0.5267527103424072,0.2029402256011963
T-5,0.9999999946,0.9999999946,0.13790512084960938,0.1786198616027832
T-8,0.6451612852815356,0.5504587105799177,0.04927396774291992,0.09247589111328125
T-9,0.8593749950317384,0.689655167367717,0.0604395866394043,0.09974789619445801
