Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
E-2,0.997500887531288,0.997500887531288,0.07950019836425781,0.15848875045776367
E-3,0.9992222690675122,0.9993777174611116,0.07900834083557129,0.15941929817199707
E-4,0.9991114220446136,0.9994666616631146,0.08374881744384766,0.1690993309020996
E-5,0.9953343651091187,0.9984399325663635,0.08985757827758789,0.16303110122680664
E-6,0.9923664070625258,0.9923664070625258,0.10912823677062988,0.18982195854187012
E-7,0.998217463770133,0.998217463770133,0.11625528335571289,0.19714021682739258
E-8,0.9944044714031238,0.9944044714031238,0.1311779022216797,0.2299947738647461
E-9,0.9929077963905236,0.9985734614479824,0.11752128601074219,0.18570971488952637
F-1,0.5235602055316467,0.3597122272527303,0.10096478462219238,0.15255117416381836
F-2,0.9845129009096605,0.9734892095565407,0.08099889755249023,0.15384149551391602
F-3,0.9411764653840831,0.975609750862582,0.07869291305541992,0.16732501983642578
G-1,0.4074702853664091,0.5727923586536874,0.10585331916809082,0.20265507698059082
G-2,0.9195402247060377,0.9195402247060377,0.1257951259613037,0.1718428134918213
G-3,0.23474178195463863,0.13404825611842253,0.0942845344543457,0.15116286277770996
G-4,0.9090909038567493,0.9999999946666667,0.08356523513793945,0.13951539993286133
G-6,0.5934718058801258,0.5555555515123457,0.08073019981384277,0.15311145782470703
G-7,0.48579284690892327,0.4866850284481007,0.10100173950195312,0.18981099128723145
P-1,0.7743271173998347,0.9050211686578693,0.12007808685302734,0.19664907455444336
P-2,0.9995919982558182,0.9995919982558182,0.10923933982849121,0.15517425537109375
P-3,0.9973851276037147,0.9973851276037147,0.08847689628601074,0.152374267578125
P-4,0.9999999949772727,0.9999999949772727,0.07681107521057129,0.14252924919128418
P-7,0.9821428521386054,0.9649122757022675,0.10643315315246582,0.17712926864624023
R-1,0.9815950869057927,0.9638554165771521,0.11172723770141602,0.2053229808807373
S-1,0.8522402238822393,0.8530534302061906,0.11455941200256348,0.17478585243225098
T-1,0.8991793619857644,0.8560267808131503,0.09506034851074219,0.15933609008789062
T-2,0.9737991216356717,0.9545211293016499,0.0825204849243164,0.15308904647827148
T-3,0.986449859446097,0.981132070420587,0.0784463882446289,0.16398048400878906
