Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
machine-2-7,0.9175257682001607,0.9552238755802147,0.06899046897888184,1.452233076095581
machine-2-8,0.9999999949378882,0.9999999949378882,0.05263113975524902,1.3633787631988525
machine-2-9,0.9728381324705799,0.9706858357068924,0.06426739692687988,1.5304176807403564
machine-3-1,0.7599451254147874,0.764137926126421,0.05500197410583496,1.5662689208984375
machine-3-2,0.9909990949010874,0.9909990949010874,0.056389570236206055,1.4310188293457031
machine-3-3,0.826923071998664,0.8252227503898611,0.07410025596618652,1.3705620765686035
machine-3-4,0.9391965205240316,0.9391965205240316,0.06677603721618652,1.3045754432678223
machine-3-5,0.7580174879820484,0.7580174879820484,0.05986356735229492,1.318068504333496
machine-3-6,0.9798933064424821,0.9798933064424821,0.061013221740722656,1.5775673389434814
machine-3-7,0.8348993239729383,0.8348993239729383,0.041233062744140625,1.5816364288330078
machine-3-8,0.8701999316068034,0.8329283061916127,0.05874323844909668,1.5680789947509766
machine-3-9,0.7441860416374698,0.7452054745759055,0.05800127983093262,1.5664105415344238
machine-3-10,0.9524276556122458,0.9575936833587712,0.06086277961730957,1.306609869003296
machine-3-11,0.9635036445948106,0.9635036445948106,0.04480433464050293,1.5891578197479248
