Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
machine-2-7,0.9561128476442351,0.9561128476442351,0.08095073699951172,1.290879249572754
machine-2-8,0.9999999949378882,0.9999999949378882,0.07017636299133301,1.292738914489746
machine-2-9,0.8455377525466894,0.8252372927426014,0.0682370662689209,1.5716428756713867
machine-3-1,0.816993459121919,0.8278145646298409,0.09157586097717285,1.5441973209381104
machine-3-10,0.990361440771665,0.9464594077840917,0.08262419700622559,1.4458959102630615
machine-3-11,0.9999999949479166,0.9999999949479166,0.10789036750793457,1.7086656093597412
machine-3-2,0.0,0.0,0.13726353645324707,1.4443578720092773
machine-3-3,0.9576923026739647,0.9641819891735741,0.1076662540435791,1.4007065296173096
machine-3-4,0.9726902913301019,0.9471413110771079,0.1443932056427002,1.3757998943328857
machine-3-5,0.9324758792072042,0.9294871744524572,0.07488846778869629,1.3946573734283447
machine-3-6,0.8483126061214518,0.8553008546974163,0.14540338516235352,1.7123501300811768
machine-3-7,0.8428184232849715,0.8416779382647436,0.12259364128112793,1.5465037822723389
machine-3-8,0.8470149204822554,0.8537846683475737,0.08629798889160156,1.8184685707092285
machine-3-9,0.7062937015269696,0.7266187003573833,0.10305118560791016,1.806868553161621
