Dataset,Entity,TrainTime,F1,Retries
SMD,machine-1-1,39.05755043029785,0.9947643929021762,0
SMD,machine-1-2,34.46920967102051,0.7323943613136723,0
SMD,machine-1-3,34.80547380447388,0.6784452251510196,0
SMD,machine-1-4,35.19963812828064,0.7557251858111416,0
SMD,machine-1-5,35.042906284332275,0.9302325530196504,0
SMD,machine-1-6,35.5249764919281,0.9955363964130078,0
SMD,machine-1-7,34.47834372520447,0.994364971151053,0
SMD,machine-1-8,35.06412172317505,0.9585531223467613,0
SMD,machine-2-1,35.85828375816345,0.8990011049089618,0
SMD,machine-2-2,35.86975407600403,0.899999994825,0
SMD,machine-2-3,34.99430179595947,0.982178212784472,0
SMD,machine-2-4,34.9091796875,0.9909346620776793,0
SMD,machine-2-5,35.238555669784546,0.9274193498420678,0
SMD,machine-2-6,42.61088037490845,0.7999999951515152,0
SMD,machine-2-7,34.77887940406799,0.9999999949699698,0
SMD,machine-2-8,34.394670486450195,0.9999999949378882,0
SMD,machine-2-9,42.940104722976685,0.9360354604930851,0
SMD,machine-3-1,41.14446687698364,0.8965517190878914,0
SMD,machine-3-10,33.65057969093323,0.9939540457741375,0
SMD,machine-3-11,42.12765431404114,0.9999999949479166,0
SMD,machine-3-2,34.81075358390808,0.0,0
SMD,machine-3-3,34.196621894836426,0.9728682120360856,0
SMD,machine-3-4,35.68248677253723,0.9351576392581964,0
SMD,machine-3-5,34.7320761680603,0.9897610870831344,0
SMD,machine-3-6,44.00579643249512,0.905887403676355,0
SMD,machine-3-7,39.054593086242676,0.9245982644610922,0
SMD,machine-3-8,40.57158303260803,0.5646766128594435,0
SMD,machine-3-9,42.72747755050659,0.66331657794235,0
