Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
machine-2-7,0.9561128476442351,0.9561128476442351,0.10514020919799805,1.4085359573364258
machine-2-8,0.9999999949378882,0.9999999949378882,0.2830936908721924,1.4155604839324951
machine-2-9,0.9027066519327079,0.8402501372442546,0.12616181373596191,1.6841003894805908
machine-3-1,0.9230769180335072,0.8278145646298409,0.1549544334411621,1.7690377235412598
machine-3-10,0.9636576737760804,0.999392092252289,0.20589423179626465,1.423259973526001
machine-3-11,0.9974025923508181,0.9999999949479166,0.10919451713562012,1.728226900100708
machine-3-2,0.0,0.0,0.10231208801269531,1.423788070678711
machine-3-3,0.9586140469547141,0.9576923026739647,0.09909844398498535,1.4055097103118896
machine-3-4,0.9413173602714475,0.9696300336465816,0.12619233131408691,1.4174344539642334
machine-3-5,0.9446254021199163,0.9265175668527799,0.10744214057922363,1.4161977767944336
machine-3-6,0.8318646408719315,0.8440629421676685,0.778923511505127,1.7127716541290283
machine-3-7,0.8428184232849715,0.8428184232849715,0.12129497528076172,2.1521527767181396
machine-3-8,0.8478057840901589,0.8602557980264887,0.3772554397583008,1.733879804611206
machine-3-9,0.6941580707880163,0.7266187003573833,0.0959787368774414,1.6897225379943848
