Dataset,Config,Machine,TrainTime,F1
SMD,JumpStarter,machine-2-7,35.50982356071472,0.9561128476442351
SMD,JumpStarter,machine-2-8,31.7575421333313,0.9999999949378882
SMD,JumpStarter,machine-2-9,38.97239565849304,0.9095384565681837
SMD,JumpStarter,machine-3-1,38.60397434234619,0.8278145646298409
SMD,JumpStarter,machine-3-10,32.036381006240845,0.8749334703216896
SMD,JumpStarter,machine-3-11,38.2329580783844,0.9999999949479166
SMD,JumpStarter,machine-3-2,32.36880588531494,0.0
SMD,JumpStarter,machine-3-3,31.950275421142578,0.9804687449827577
SMD,JumpStarter,machine-3-4,32.28259325027466,0.9669603474177163
SMD,JumpStarter,machine-3-5,32.10594320297241,0.9999999949310343
SMD,JumpStarter,machine-3-6,38.917444467544556,0.937991261376511
SMD,JumpStarter,machine-3-7,38.81780743598938,0.8428184232849715
SMD,JumpStarter,machine-3-8,38.169965505599976,0.7079921981498674
SMD,JumpStarter,machine-3-9,39.371668338775635,0.7232876661977857
MSL,JumpStarter,M-5,4.756864786148071,0.9999999949666667
MSL,JumpStarter,M-6,4.115583181381226,0.8551068834253925
MSL,JumpStarter,M-7,4.379152536392212,0.9756097510053541
MSL,JumpStarter,P-10,11.706447839736938,0.9999999949230769
MSL,JumpStarter,P-11,7.007668733596802,0.6522366478225254
MSL,JumpStarter,P-14,12.17354941368103,0.9999999949444445
MSL,JumpStarter,P-15,5.649005174636841,0.04576658994077573
MSL,JumpStarter,S-2,3.705564022064209,0.999999994
MSL,JumpStarter,T-12,4.860025405883789,0.4371584665133826
MSL,JumpStarter,T-13,4.832435369491577,0.6596306024220105
MSL,JumpStarter,T-4,4.542263746261597,0.5643153485993699
MSL,JumpStarter,T-5,4.901406764984131,0.9090909038016529
MSL,JumpStarter,T-8,3.119560718536377,0.5940594008822666
MSL,JumpStarter,T-9,2.7516705989837646,0.5992509314396331
SMAP,JumpStarter,E-2,8.150663375854492,0.9721642260339914
SMAP,JumpStarter,E-3,7.5280609130859375,0.9999999949968867
SMAP,JumpStarter,E-4,7.651694059371948,0.9999999949964427
SMAP,JumpStarter,E-5,7.860430955886841,0.9999999949687499
SMAP,JumpStarter,E-6,7.519452333450317,0.999999994846154
SMAP,JumpStarter,E-7,8.03459644317627,0.9459459409285975
SMAP,JumpStarter,E-8,7.729248046875,0.9904458548572965
SMAP,JumpStarter,E-9,7.694051742553711,0.9999999949714284
SMAP,JumpStarter,F-1,7.911285400390625,0.24906600030396603
SMAP,JumpStarter,F-2,7.935269117355347,0.9644371891304201
SMAP,JumpStarter,F-3,8.692317962646484,0.99999999475
SMAP,JumpStarter,G-1,7.741456508636475,0.17870439151963605
SMAP,JumpStarter,G-2,6.791465520858765,0.03367003333871828
SMAP,JumpStarter,G-3,7.249368906021118,0.06901311182410375
SMAP,JumpStarter,G-4,7.088802814483643,0.138568128034178
SMAP,JumpStarter,G-6,7.906787157058716,0.3231017743402904
SMAP,JumpStarter,G-7,7.622411251068115,0.6090651511008434
SMAP,JumpStarter,P-1,7.7736968994140625,0.9676584684726599
SMAP,JumpStarter,P-2,7.478334903717041,0.9999999949918368
SMAP,JumpStarter,P-3,7.728800535202026,0.9874260304964458
SMAP,JumpStarter,P-4,7.097092151641846,0.7045636463458678
SMAP,JumpStarter,P-7,7.634336709976196,0.9388335654258827
SMAP,JumpStarter,R-1,6.7323081493377686,0.021848968785612755
SMAP,JumpStarter,S-1,6.753495931625366,0.9999999949776286
SMAP,JumpStarter,T-1,7.865016460418701,0.9104160290293529
SMAP,JumpStarter,T-2,8.28945016860962,0.9335426428455601
SMAP,JumpStarter,T-3,7.785912752151489,0.32212389109718853
