Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
M-5,0.8141112570231365,0.8130081252340978,0.0876471996307373,0.13018107414245605
M-6,0.9999999949444445,0.9999999949444445,0.06131291389465332,0.14845967292785645
M-7,0.3508771900769468,0.2989536596307543,0.05738329887390137,0.08790946006774902
P-10,0.9811320703994304,0.7323943615139854,0.1513659954071045,0.24767374992370605
P-11,0.8642447369329029,0.7661016901628268,0.09821534156799316,0.2349381446838379
P-14,0.986301364809908,0.986301364809908,0.09416890144348145,0.17107415199279785
P-15,0.9523809469387755,0.026455026193625605,0.08510851860046387,0.20982074737548828
S-2,0.999999994,0.999999994,0.047101736068725586,0.0677804946899414
T-12,0.995850617324082,0.995850617324082,0.048044681549072266,0.07350325584411621
T-13,0.5698005656691099,0.5617977485955057,0.04855084419250488,0.07342815399169922
T-4,0.23693379581250232,0.25515947243603243,0.08325672149658203,0.13775157928466797
T-5,0.9999999946,0.9999999946,0.08892083168029785,0.1361382007598877
T-8,0.6451612852815356,0.6315789423157896,0.04771995544433594,0.09327888488769531
T-9,0.8730158680272109,0.9243697428500812,0.04633927345275879,0.0741415023803711
