Dataset,Config,Machine,TrainTime,F1
SMD,TranAD_Scratch,machine-2-7,1.5541863441467285,0.9561128476442351
SMD,TranAD_Scratch,machine-2-8,0.7766976356506348,0.9999999949378882
SMD,TranAD_Scratch,machine-2-9,0.8636610507965088,0.8407280952310388
SMD,TranAD_Scratch,machine-3-1,0.9947428703308105,0.8278145646298409
SMD,TranAD_Scratch,machine-3-10,1.0820074081420898,0.999392092252289
SMD,TranAD_Scratch,machine-3-11,1.4727802276611328,0.9974025923508181
SMD,TranAD_Scratch,machine-3-2,1.0415716171264648,0.0
SMD,TranAD_Scratch,machine-3-3,1.127873420715332,0.9971181506004811
SMD,TranAD_Scratch,machine-3-4,1.23525071144104,0.9517615126164938
SMD,TranAD_Scratch,machine-3-5,0.9085259437561035,0.9324758792072042
SMD,TranAD_Scratch,machine-3-6,1.3074994087219238,0.8577586157846564
SMD,TranAD_Scratch,machine-3-7,1.4617328643798828,0.8416779382647436
SMD,TranAD_Scratch,machine-3-8,1.2398149967193604,0.8478057840901589
SMD,TranAD_Scratch,machine-3-9,1.019129991531372,0.7266187003573833
SMD,Omni_Periodic,machine-2-7,0.12421774864196777,0.9561128476442351
SMD,Omni_Periodic,machine-2-8,0.125016450881958,0.9999999949378882
SMD,Omni_Periodic,machine-2-9,0.10962557792663574,0.8460217466829882
SMD,Omni_Periodic,machine-3-1,0.10434556007385254,0.8278145646298409
SMD,Omni_Periodic,machine-3-10,0.10550689697265625,0.9879807642196168
SMD,Omni_Periodic,machine-3-11,0.10236787796020508,0.9481481431147691
SMD,Omni_Periodic,machine-3-2,0.10326147079467773,0.0
SMD,Omni_Periodic,machine-3-3,0.09178423881530762,0.9567723292756078
SMD,Omni_Periodic,machine-3-4,0.09872674942016602,0.9698725326496002
SMD,Omni_Periodic,machine-3-5,0.1427745819091797,0.9415584365143784
SMD,Omni_Periodic,machine-3-6,0.1287844181060791,0.8642960763600885
SMD,Omni_Periodic,machine-3-7,0.09340715408325195,0.8416779382647436
SMD,Omni_Periodic,machine-3-8,0.10479855537414551,0.8643503044602637
SMD,Omni_Periodic,machine-3-9,0.1059577465057373,0.7240143322269756
SMD,Omni_Entropy,machine-2-7,0.1346876621246338,0.9561128476442351
SMD,Omni_Entropy,machine-2-8,0.1063380241394043,0.9999999949378882
SMD,Omni_Entropy,machine-2-9,0.16843175888061523,0.8359728458038009
SMD,Omni_Entropy,machine-3-1,0.1032705307006836,0.8278145646298409
SMD,Omni_Entropy,machine-3-10,0.10924673080444336,0.990361440771665
SMD,Omni_Entropy,machine-3-11,0.09067130088806152,0.9434889384585479
SMD,Omni_Entropy,machine-3-2,0.1689314842224121,0.0
SMD,Omni_Entropy,machine-3-3,0.09361672401428223,0.9394531199835587
SMD,Omni_Entropy,machine-3-4,0.11069083213806152,0.9385074576870538
SMD,Omni_Entropy,machine-3-5,0.09012675285339355,0.9354838659281998
