Dataset,Config,Machine,TrainTime,F1
UCR,TranAD_Scratch,137,0.8959610462188721,0.4880382737991347
UCR,TranAD_Scratch,138,0.12329936027526855,0.007550018799775011
UCR,Omni_Periodic,137,0.08643770217895508,0.39080459454177124
UCR,Omni_Periodic,138,0.10337424278259277,0.005488474149406993
UCR,Omni_Entropy,137,0.07569360733032227,0.9760765499333808
UCR,Omni_Entropy,138,0.07168817520141602,0.004992511183324864
UCR,Omni_Causal,137,0.07858562469482422,0.2783083195611301
UCR,Omni_Causal,138,0.08049178123474121,0.007069635843254003
UCR,Omni_Entropy_Causal,137,0.07727551460266113,0.48920862937460113
UCR,Omni_Entropy_Causal,138,0.0772700309753418,0.005230125470820714
