Dataset,Config,Machine,TrainTime,F1
State_DS1,TranAD_Scratch,entity_0050,1.34993577003479,0.9189189134258583
State_DS1,TranAD_Scratch,entity_0051,0.46716976165771484,0.9056603720612317
State_DS1,TranAD_Scratch,entity_0052,0.5303125381469727,0.8928571375446429
State_DS1,TranAD_Scratch,entity_0053,0.5776171684265137,0.9310344774375744
State_DS1,TranAD_Scratch,entity_0054,0.4768984317779541,0.9032258011654527
State_DS1,TranAD_Scratch,entity_0055,0.6146156787872314,0.9285714232461736
State_DS1,TranAD_Scratch,entity_0056,0.4946744441986084,0.9473684157217607
State_DS1,TranAD_Scratch,entity_0057,0.5095987319946289,0.8787878735950414
State_DS1,TranAD_Scratch,entity_0058,0.5279500484466553,0.9999999946551723
State_DS1,TranAD_Scratch,entity_0059,0.5372622013092041,0.8928571375446429
State_DS1,TranAD_Scratch,entity_0060,0.5200393199920654,0.9122806964358264
State_DS1,TranAD_Scratch,entity_0061,0.4992969036102295,0.8771929771868268
State_DS1,TranAD_Scratch,entity_0062,0.4883544445037842,0.9333333280277778
State_DS1,TranAD_Scratch,entity_0063,0.48155689239501953,0.9454545401256199
State_DS1,TranAD_Scratch,entity_0064,0.47690367698669434,0.9473684155678671
State_DS1,TranAD_Scratch,entity_0065,0.4727935791015625,0.9285714232461736
State_DS1,TranAD_Scratch,entity_0066,0.46924424171447754,0.9830508421258259
State_DS1,TranAD_Scratch,entity_0067,0.46713948249816895,0.9677419301768991
State_DS1,TranAD_Scratch,entity_0068,0.4648778438568115,0.9655172360463734
State_DS1,TranAD_Scratch,entity_0069,0.46396875381469727,0.9830508421258259
State_DS1,TranAD_Scratch,entity_0070,0.46380043029785156,0.8571428518431122
State_DS1,TranAD_Scratch,entity_0071,0.46422576904296875,0.950819666831497
State_DS1,TranAD_Scratch,entity_0072,0.4737827777862549,0.9367088555423811
State_DS1,TranAD_Scratch,entity_0073,0.48120760917663574,0.9152542319793164
State_DS1,TranAD_Scratch,entity_0074,0.4919087886810303,0.9062499947607422
State_DS1,TranAD_Scratch,entity_0075,0.5055027008056641,0.8292682873527663
State_DS1,TranAD_Scratch,entity_0076,0.5379500389099121,0.9454545401256199
State_DS1,TranAD_Scratch,entity_0077,0.4843745231628418,0.9824561350076947
State_DS1,TranAD_Scratch,entity_0078,0.504784345626831,0.9117647006531142
State_DS1,TranAD_Scratch,entity_0079,0.4792487621307373,0.8846153793417161
State_DS1,TranAD_Scratch,entity_0080,0.4741377830505371,0.9333333280277778
State_DS1,TranAD_Scratch,entity_0081,0.47187185287475586,0.8571428518367347
State_DS1,TranAD_Scratch,entity_0082,0.4697906970977783,0.9090909038567493
State_DS1,TranAD_Scratch,entity_0083,0.48205995559692383,0.9047618993764173
State_DS1,TranAD_Scratch,entity_0084,0.48218536376953125,0.8571428518431122
State_DS1,TranAD_Scratch,entity_0085,0.48834753036499023,0.950819666831497
State_DS1,TranAD_Scratch,entity_0086,0.49759554862976074,0.9090909038567493
State_DS1,TranAD_Scratch,entity_0087,0.5083751678466797,0.9142857087673469
State_DS1,TranAD_Scratch,entity_0088,0.49885106086730957,0.923076917853386
State_DS1,TranAD_Scratch,entity_0089,0.4849090576171875,0.96666666135
State_DS1,TranAD_Scratch,entity_0090,0.5210187435150146,0.923076917633136
State_DS1,TranAD_Scratch,entity_0091,0.4758877754211426,0.9259259206104253
State_DS1,TranAD_Scratch,entity_0092,0.5023229122161865,0.8771929771498923
