Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
machine-2-7,0.9561128476442351,0.9561128476442351,0.07049369812011719,1.2858123779296875
machine-2-8,0.9999999949378882,0.9999999949378882,0.07445788383483887,1.3175036907196045
machine-2-9,0.8407280952310388,0.8494252824599221,0.06862330436706543,1.8141491413116455
machine-3-1,0.825082503338017,0.8278145646298409,0.08748173713684082,1.55869722366333
machine-3-10,0.9933534693084584,0.9636576737760804,0.09366393089294434,1.4481754302978516
machine-3-11,0.9974025923508181,0.9999999949479166,0.09688663482666016,1.8381876945495605
machine-3-2,0.0,0.0,0.133941650390625,1.4233393669128418
machine-3-3,0.98016996665388,0.9595375672360142,0.12184691429138184,1.476121425628662
machine-3-4,0.9726902913301019,0.9611384733768873,0.13953709602355957,1.423675298690796
machine-3-5,0.9385113218190007,0.9265175668527799,0.1411590576171875,1.425297737121582
machine-3-6,0.8498220591636582,0.8531618386172524,0.13258028030395508,1.6889216899871826
machine-3-7,0.8405405356364865,0.8249336820687193,0.10558557510375977,1.6896281242370605
machine-3-8,0.8273348470777466,0.8517823590793379,0.12646770477294922,1.6832783222198486
machine-3-9,0.7112676008874728,0.7266187003573833,0.10189962387084961,1.6642322540283203
