Dataset,Config,Machine,TrainTime,F1
SMD,TranAD_Scratch,machine-2-7,1.6755049228668213,0.9561128476442351
SMD,TranAD_Scratch,machine-2-8,0.6917977333068848,0.9999999949378882
SMD,TranAD_Scratch,machine-2-9,0.8016798496246338,0.8229398615172979
SMD,TranAD_Scratch,machine-3-1,0.9647634029388428,0.8278145646298409
SMD,TranAD_Scratch,machine-3-10,0.892519474029541,0.8920238691668995
SMD,TranAD_Scratch,machine-3-11,0.7950131893157959,0.9974025923508181
SMD,TranAD_Scratch,machine-3-2,0.7133116722106934,0.0
SMD,TranAD_Scratch,machine-3-3,1.0140597820281982,0.9923518114246387
SMD,TranAD_Scratch,machine-3-4,1.1816308498382568,0.9451022555000517
SMD,TranAD_Scratch,machine-3-5,1.2697386741638184,0.9354838659281998
SMD,TranAD_Scratch,machine-3-6,1.0373029708862305,0.8605405356315833
SMD,TranAD_Scratch,machine-3-7,1.0165612697601318,0.8416779382647436
SMD,TranAD_Scratch,machine-3-8,1.336660623550415,0.8391866864339333
SMD,TranAD_Scratch,machine-3-9,1.0602293014526367,0.7266187003573833
SMD,Omni_Periodic,machine-2-7,0.09819269180297852,0.9561128476442351
SMD,Omni_Periodic,machine-2-8,0.10964059829711914,0.9999999949378882
SMD,Omni_Periodic,machine-2-9,0.09346723556518555,0.8426453770982306
SMD,Omni_Periodic,machine-3-1,0.09681916236877441,0.8278145646298409
SMD,Omni_Periodic,machine-3-10,0.09988141059875488,0.9867947128761805
SMD,Omni_Periodic,machine-3-11,0.10761880874633789,0.972151893688832
SMD,Omni_Periodic,machine-3-2,0.07560348510742188,0.0
SMD,Omni_Periodic,machine-3-3,0.40883803367614746,0.6548323426231835
SMD,Omni_Periodic,machine-3-4,0.08264279365539551,0.939068095359201
SMD,Omni_Periodic,machine-3-5,0.07287406921386719,0.9602648956065524
SMD,Omni_Periodic,machine-3-6,0.08092665672302246,0.8583783734694367
SMD,Omni_Periodic,machine-3-7,0.40424299240112305,0.8348993239436783
SMD,Omni_Periodic,machine-3-8,0.10656595230102539,0.8777186997545344
SMD,Omni_Periodic,machine-3-9,0.09678220748901367,0.7240143322269756
SMD,Omni_Entropy,machine-2-7,0.08287858963012695,0.9561128476442351
SMD,Omni_Entropy,machine-2-8,0.10819697380065918,0.9999999949378882
SMD,Omni_Entropy,machine-2-9,0.17876577377319336,0.8322072023386076
SMD,Omni_Entropy,machine-3-1,0.08737993240356445,0.8278145646298409
SMD,Omni_Entropy,machine-3-10,0.09707522392272949,0.9785714235620749
SMD,Omni_Entropy,machine-3-11,0.1095273494720459,0.9481481431147691
SMD,Omni_Entropy,machine-3-2,0.09214901924133301,0.0
SMD,Omni_Entropy,machine-3-3,0.09425163269042969,0.9385365803492588
SMD,Omni_Entropy,machine-3-4,0.09928536415100098,0.9441441391477388
SMD,Omni_Entropy,machine-3-5,0.08960199356079102,0.3703703673430775
SMD,Omni_Entropy,machine-3-6,0.08777666091918945,0.8617944958098805
SMD,Omni_Entropy,machine-3-7,0.09562444686889648,0.8293333284073601
SMD,Omni_Entropy,machine-3-8,0.0974888801574707,0.8963474777694515
SMD,Omni_Entropy,machine-3-9,0.09683895111083984,0.7266187003573833
SMAP,TranAD_Scratch,E-2,0.14462733268737793,0.997500887531288
SMAP,TranAD_Scratch,E-3,0.15013575553894043,0.9993777174611116
SMAP,TranAD_Scratch,E-4,0.15265536308288574,0.9991114220446136
SMAP,TranAD_Scratch,E-5,0.14474177360534668,0.9922480569850368
SMAP,TranAD_Scratch,E-6,0.15232396125793457,0.9923664070625258
SMAP,TranAD_Scratch,E-7,0.15873384475708008,0.998217463770133
SMAP,TranAD_Scratch,E-8,0.17806434631347656,0.9951999949841921
SMAP,TranAD_Scratch,E-9,0.18540501594543457,0.9929077963905236
SMAP,TranAD_Scratch,F-1,0.14972972869873047,0.5235602055316467
SMAP,TranAD_Scratch,F-2,0.13033437728881836,0.9892904903118545
SMAP,TranAD_Scratch,F-3,0.12501096725463867,0.9411764653840831
SMAP,TranAD_Scratch,G-1,0.11931514739990234,0.5755395642185532
SMAP,TranAD_Scratch,G-2,0.11835074424743652,0.9195402247060377
SMAP,TranAD_Scratch,G-3,0.11980915069580078,0.2398081513551749
SMAP,TranAD_Scratch,G-4,0.11873388290405273,0.9999999946666667
SMAP,TranAD_Scratch,G-6,0.11470532417297363,0.5934718058801258
SMAP,TranAD_Scratch,G-7,0.11571025848388672,0.6964520322360958
SMAP,TranAD_Scratch,P-1,0.11563658714294434,0.9012048143150531
SMAP,TranAD_Scratch,P-2,0.11456990242004395,0.9995919982558182
SMAP,TranAD_Scratch,P-3,0.12595605850219727,0.9973851276037147
SMAP,TranAD_Scratch,P-4,0.12645363807678223,0.9999999949772727
SMAP,TranAD_Scratch,P-7,0.14114785194396973,0.9601396516796921
SMAP,TranAD_Scratch,R-1,0.14079761505126953,0.9638554165771521
SMAP,TranAD_Scratch,S-1,0.14999699592590332,0.9922308495842701
SMAP,TranAD_Scratch,T-1,0.14856696128845215,0.9460376144968536
SMAP,TranAD_Scratch,T-2,0.1460857391357422,0.9547765537420708
SMAP,TranAD_Scratch,T-3,0.1390242576599121,0.981132070420587
SMAP,Omni_Periodic,E-2,0.07292771339416504,0.9971448914954217
SMAP,Omni_Periodic,E-3,0.07785367965698242,0.9993777174611116
SMAP,Omni_Periodic,E-4,0.07862210273742676,0.9989338969154326
SMAP,Omni_Periodic,E-5,0.0726463794708252,0.989180829591337
SMAP,Omni_Periodic,E-6,0.07120585441589355,0.9923664070625258
SMAP,Omni_Periodic,E-7,0.07426619529724121,0.998217463770133
SMAP,Omni_Periodic,E-8,0.07120156288146973,0.9944044714031238
SMAP,Omni_Periodic,E-9,0.07287073135375977,0.9915014114028681
SMAP,Omni_Periodic,F-1,0.081329345703125,0.3597122272527303
SMAP,Omni_Periodic,F-2,0.08025813102722168,0.9749340319392401
SMAP,Omni_Periodic,F-3,0.0708162784576416,0.9195402247060377
SMAP,Omni_Periodic,G-1,0.07032966613769531,0.5755395642185532
SMAP,Omni_Periodic,G-2,0.07088184356689453,0.9302325529475393
SMAP,Omni_Periodic,G-3,0.0745701789855957,0.43668121925592573
SMAP,Omni_Periodic,G-4,0.08976984024047852,0.9999999946666667
SMAP,Omni_Periodic,G-6,0.0973825454711914,0.604229602997417
SMAP,Omni_Periodic,G-7,0.09563064575195312,0.8466453625026795
SMAP,Omni_Periodic,P-1,0.09540677070617676,0.9055690022975453
SMAP,Omni_Periodic,P-2,0.09050154685974121,0.9995919982558182
SMAP,Omni_Periodic,P-3,0.07819914817810059,0.9970126910344211
SMAP,Omni_Periodic,P-4,0.09212064743041992,0.8773678913687651
SMAP,Omni_Periodic,P-7,0.09502887725830078,0.9612583696013802
SMAP,Omni_Periodic,R-1,0.10345244407653809,0.022032497716494816
SMAP,Omni_Periodic,S-1,0.08538174629211426,0.9922308495842701
SMAP,Omni_Periodic,T-1,0.10782718658447266,0.946329421288639
SMAP,Omni_Periodic,T-2,0.09911799430847168,0.9557996199711626
SMAP,Omni_Periodic,T-3,0.0986030101776123,0.981132070420587
