Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
M-5,0.8141112570231365,0.8130081252340978,0.12752318382263184,0.2349081039428711
M-6,0.9999999949444445,0.9999999949444445,0.09211611747741699,0.12287425994873047
M-7,0.2989536596307543,0.30030029773918065,0.095458984375,0.13036370277404785
P-10,0.9811320703994304,0.9774436039516083,0.1408088207244873,0.312192440032959
P-11,0.7674023721544676,0.7766322976282756,0.10951638221740723,0.24006390571594238
P-14,0.986301364809908,0.986301364809908,0.10078883171081543,0.16513538360595703
P-15,0.9523809469387755,0.026455026193625605,0.09297943115234375,0.1895308494567871
S-2,0.999999994,0.999999994,0.04952239990234375,0.09963846206665039
T-12,0.9917355321084627,0.8333333284143519,0.04893803596496582,0.0734705924987793
T-13,0.5740528087527567,0.5624296922326498,0.0614926815032959,0.08480691909790039
T-4,0.2377622356589565,0.25515947243603243,0.10642504692077637,0.17015933990478516
T-5,0.9999999946,0.9999999946,0.11042475700378418,0.18088412284851074
T-8,0.6382978672928928,0.6315789423157896,0.0709526538848877,0.10298633575439453
T-9,0.8730158680272109,0.9401709351084814,0.06328225135803223,0.09224748611450195
