Dataset,Config,Machine,TrainTime,F1
SMD,TranAD_Scratch,machine-2-7,15.64073371887207,0.9970059829941466
SMD,TranAD_Scratch,machine-2-8,15.154274940490723,0.9999999949378882
SMD,TranAD_Scratch,machine-2-9,18.59875202178955,0.9899531095217378
SMD,TranAD_Scratch,machine-3-1,17.822447061538696,0.8278145646298409
SMD,TranAD_Scratch,machine-3-10,14.988054513931274,0.8964013036589372
SMD,TranAD_Scratch,machine-3-11,19.6518714427948,0.9999999949479166
SMD,TranAD_Scratch,machine-3-2,23.01576066017151,0.0
SMD,TranAD_Scratch,machine-3-3,16.523431539535522,0.968871590313101
SMD,TranAD_Scratch,machine-3-4,15.412151098251343,0.9755244705158227
SMD,TranAD_Scratch,machine-3-5,15.246061325073242,0.9830508423924159
SMD,TranAD_Scratch,machine-3-6,19.27621340751648,0.9625711910906088
SMD,TranAD_Scratch,machine-3-7,26.0956814289093,0.8587830030189246
SMD,TranAD_Scratch,machine-3-8,24.743993759155273,0.9874931978176665
SMD,TranAD_Scratch,machine-3-9,24.630335092544556,0.7695652126233459
SMD,Omni_Periodic,machine-2-7,1.418682336807251,0.9985007445952585
SMD,Omni_Periodic,machine-2-8,1.4007461071014404,0.9999999949378882
SMD,Omni_Periodic,machine-2-9,1.3851125240325928,0.9859906554281196
SMD,Omni_Periodic,machine-3-1,1.0228168964385986,0.8278145646298409
SMD,Omni_Periodic,machine-3-10,1.404876708984375,0.999392092252289
SMD,Omni_Periodic,machine-3-11,1.0267829895019531,0.9974025923508181
SMD,Omni_Periodic,machine-3-2,1.0225095748901367,0.0
SMD,Omni_Periodic,machine-3-3,1.033585548400879,0.9726562449829103
SMD,Omni_Periodic,machine-3-4,1.033182144165039,0.9898534335462887
SMD,Omni_Periodic,machine-3-5,1.037707805633545,0.9931506798637174
SMD,Omni_Periodic,machine-3-6,1.3935465812683105,0.9823118008347006
SMD,Omni_Periodic,machine-3-7,1.030400276184082,0.884160751480727
SMD,Omni_Periodic,machine-3-8,1.3968677520751953,0.9874931978176665
SMD,Omni_Periodic,machine-3-9,1.4062964916229248,0.8119266006442009
