Machine,Omni_F1,Scratch_F1,Omni_Time,Scratch_Time
E-2,0.997500887531288,0.997500887531288,0.09628891944885254,0.185089111328125
E-3,0.9996887593915359,0.9992222690675122,0.09368157386779785,0.17011141777038574
E-4,0.9996443762197744,0.9991114220446136,0.09322619438171387,0.16489076614379883
E-5,0.9984399325663635,0.9968847301714852,0.11471796035766602,0.18259096145629883
E-6,0.9923664070625258,0.9923664070625258,0.09964537620544434,0.16298699378967285
E-7,0.998217463770133,0.998217463770133,0.10933423042297363,0.1916952133178711
E-8,0.9951999949841921,0.9944044714031238,0.12921857833862305,0.20537614822387695
E-9,0.9985734614479824,0.9971509921226289,0.1107475757598877,0.1962893009185791
F-1,0.5235602055316467,0.3603603573930688,0.10834264755249023,0.1985471248626709
F-2,0.9746125897906457,0.9734892095565407,0.1327197551727295,0.23617982864379883
F-3,0.9523809471655329,0.9411764653840831,0.15038084983825684,0.20662307739257812
G-1,0.40677965776271185,0.5755395642185532,0.12384438514709473,0.20798420906066895
G-2,0.9195402247060377,0.9195402247060377,0.10675811767578125,0.19308710098266602
G-3,0.1703577497134101,0.17064846259711822,0.11474943161010742,0.2189788818359375
G-4,0.9090909038567493,0.983606552055899,0.1306614875793457,0.23807120323181152
G-6,0.6060606017998164,0.5555555515123457,0.15544390678405762,0.23557424545288086
G-7,0.48579284690892327,0.4866850284481007,0.11827993392944336,0.19119524955749512
P-1,0.7739265343059969,0.9077669853227802,0.09708571434020996,0.22368240356445312
P-2,0.9995919982558182,0.9995919982558182,0.12366747856140137,0.22890233993530273
P-3,0.9977578425262006,0.9973851276037147,0.12549090385437012,0.20490646362304688
P-4,0.9999999949772727,0.9702315275078436,0.1118772029876709,0.1806354522705078
P-7,0.9717314437615236,0.9626604384085894,0.13283801078796387,0.2202591896057129
R-1,0.9580838272293738,0.9756097509815588,0.1333632469177246,0.24700522422790527
S-1,0.8563218341672723,0.8538681899328687,0.1296067237854004,0.20539331436157227
T-1,0.8608305225892043,0.8560267808131503,0.10004639625549316,0.19159626960754395
T-2,0.9648458576294088,0.95350079671603,0.12769031524658203,0.2389378547668457
T-3,0.9999999949450549,0.9999999949450549,0.14382457733154297,0.21996307373046875
